study,run_id,case_id,condition,family_id,status,output_tokens,output_token_limit_reached,input_truncated,normalized_training_target_match,matching_example_ids,body,semantic_score,human_rating
text_T1,7c2d5c379f704581ac21f26419c3e406,msm_eval_01,CR,monkeys_spinning_monkeys,completed,64,True,False,False,,"**음원 설명:** ""강아지가 간식 봉지를 몰래 가져가다 들키는 짧은 장난 영상에 붙일 문구""

**입력 예시:** ""강아지가 간식 봉지를 몰래 가져가",,
text_T1,7c2d5c379f704581ac21f26419c3e406,msm_eval_01,CF,monkeys_spinning_monkeys,completed,64,True,False,False,,문을 살짝 열고 몰래 나가려던 고양이는 문 옆에서 떠올랐다. 그는 문 안에서 끊어진 장난감을 발견했다. 그러자 문 내부에서 빛을 흩치며 소리쳤다.,,
text_T1,7c2d5c379f704581ac21f26419c3e406,msm_eval_02,C0,monkeys_spinning_monkeys,completed,64,True,False,False,,"""Monkeys Spinning Monkeys"" - 2023년 1월 15일

""도미노를 끝까지 세우기 직전에 소매로 첫 조각을 건드린다."" - 2023년 1월 14",,
text_T1,7c2d5c379f704581ac21f26419c3e406,msm_eval_02,CR,monkeys_spinning_monkeys,completed,64,True,False,False,,"**음원 설명:** ""무엇을 먹으셨나요? 간식 봉지에 갇히셨나요?"" 

**입력 예시:** ""무엇을 먹으셨나요? 간식 봉지에 갇히셨나요?""

",,
text_T1,7c2d5c379f704581ac21f26419c3e406,msm_eval_02,CF,monkeys_spinning_monkeys,completed,60,False,False,False,,"도미노를 끝까지 세우고 싶어했다. 그 순간, 소매로 첫 조각을 건드렸다. 이 음원을 쓸 짧은 코믹 영상의 문구만 써 줬다.",,
text_T1,7c2d5c379f704581ac21f26419c3e406,mu_eval_01,C0,muyaho,completed,43,False,False,False,,"무야호님께, 몇 달 동안 연습한 자전거 타기에서 처음으로 성공했습니다! 친구들에게 이 기쁨의 글을 보내드리겠습니다.",,
text_T1,7c2d5c379f704581ac21f26419c3e406,mu_eval_01,CR,muyaho,completed,64,True,False,False,,"먼저, 저는 무야호라는 인물에 대해 좀 더 정확하고 적절한 정보를 제공할 수 있도록 노력하겠습니다. 하지만 현재로서는 그에 대한 정보를 제공할 수 없습니다. 

무야호는 대한민국에서 유행하는 인터넷 밈입니다. 그",,
text_T1,7c2d5c379f704581ac21f26419c3e406,mu_eval_01,CF,muyaho,completed,63,False,False,False,,"연습한 자전거 타기 1일 후부터 시작했지만, 2주 만에 연습한 뒤 3일 만에 성공했다. 그 때까지 연습한 자전거는 4일 전보다 50% 더 길었다.",,
text_T1,7c2d5c379f704581ac21f26419c3e406,doge_eval_02,C0,doge,completed,27,False,False,False,,"Doge, 당신의 새 방석이 너무 좋네요! 만족스럽게 이용해주셔서 감사합니다.",,
text_T1,7c2d5c379f704581ac21f26419c3e406,doge_eval_02,CR,doge,completed,12,False,False,True,doge_train_02,Wow. Such blanket. Much cozy. Very nap.,,
text_T1,7c2d5c379f704581ac21f26419c3e406,doge_eval_02,CF,doge,completed,17,False,False,False,,wow. such. very. comfortable. much. happy. very. satisfied.,,
text_T1,7c2d5c379f704581ac21f26419c3e406,neutral_eval_01,C0,no_meme,completed,28,False,False,False,,아파트 승강기 점검 시간: 금요일 오전 10시부터 11시까지,,
text_T1,7c2d5c379f704581ac21f26419c3e406,neutral_eval_01,CR,no_meme,completed,26,False,False,False,,아파트 승강기 점검 시간은 오전 10시부터 11시까지입니다.,,
text_T1,7c2d5c379f704581ac21f26419c3e406,neutral_eval_01,CF,no_meme,completed,28,False,False,False,,아파트 승강기가 금요일 오전 10시부터 11시까지 점검되었습니다.,,
